n.name,n.url,n.betweenness
How Your Work Environment is Sapping You Dry (and How to Fix It),https://fs.blog/2013/12/your-environment-matters/,23740.670037611446
5 Mental Models to Remove (Some of) the Confusion from Parenting,https://fs.blog/2018/08/parenting-mental-models/,2035.6454474739883
What Matters More in Decisions: Analysis or Process?,https://fs.blog/2013/03/what-matters-more-in-decisions-analysis-or-process/,12326.503208733948
39 Books to Improve your Decision Making Skills,https://fs.blog/2015/06/books-on-decision-making/,15535.912817759123
Three Filters Needed to Think Through Problems,https://fs.blog/2015/12/garrett-hardin-three-filters/,10684.564800393844
This Time is Different: The Four Most Costly Words Ever Spoken,https://fs.blog/2014/01/this-time-is-different/,25836.12274342873
How People Make Big Decisions,https://fs.blog/2015/11/how-people-make-big-decision/,5941.70212360499
Why Bad Things Happen to Good Decisions,https://fs.blog/2012/10/what-happens-when-decisions-go-wrong/,66391.17349897797
Keeping Things Simple and Tuning out Folly,https://fs.blog/2015/09/keeping-things-simple-and-tuning-out-folly/,7610.166198107911
An Ancient Lesson on Taking Responsibility For Decisions,https://fs.blog/2012/11/philosophy-of-responsibility/,42096.50082360911
The Anatomy of a Decision: An Introduction to Decision Making,https://fs.blog/2009/07/an-introduction-to-decision-making/,16577.623289815383
The Feynman Technique: The Best Way to Learn Anything,https://fs.blog/2012/04/learn-anything-faster-with-the-feynman-technique/,64980.5558442796
"Poker, Speeding Tickets, and Expected Value: Making Decisions in an Uncertain World",https://fs.blog/2018/01/expected-value/,1972.3267530355986
The Fairness Principle: How the Veil of Ignorance Helps Test Fairness,https://fs.blog/2017/10/veil-ignorance/,4697.503359187607
How to Choose Your Next Book,https://fs.blog/2013/08/choose-your-next-book/,79185.00352078736
Arthur Schopenhauer: On Reading and Books,https://fs.blog/2015/08/schopenhauer-on-reading/,40608.320123004516
3 Things Everyone Should Know About the Availability Heuristic,https://fs.blog/2011/08/mental-model-availability-bias/,13020.81802236852
The Best Way to Find More Time to Read,https://fs.blog/2013/09/finding-time-to-read/,28387.229894769476
Reciprocation Bias,https://fs.blog/2017/09/reciprocation-bias/,13146.745896204575
Habits vs. Goals: A Look at the Benefits of a Systematic Approach to Life,https://fs.blog/2017/06/habits-vs-goals/,412.56915906838344
"Smarter, Not Harder: How to Succeed at Work",https://fs.blog/2018/06/succeed-at-work/,89711.55141485915
The Noise Bottleneck: When More Information is Harmful,https://fs.blog/2012/05/noise-and-signal-nassim-taleb/,14063.432610304491
Montaigne’s Rule for Reading: The Promiscuous Pursuit of Pleasure,https://fs.blog/2016/01/what-did-montaigne-like-to-read/,35522.23015993688
Reading a Book is a Conversation Between You and the Author,https://fs.blog/2015/05/reading-a-book-is-a-conversation/,7161.598309783489
Break the Chain: Stop Being a Slave,https://fs.blog/2018/04/break-the-chain/,63.985979872617875
The Difference Between Amateurs and Professionals,https://fs.blog/2017/08/amateurs-professionals/,23136.05481261213
The Terror of Totalitarianism Explained,https://fs.blog/2018/03/hannah-arendt-totalitarianism/,439.42898291115665
The Butterfly Effect: Everything You Need to Know About This Powerful Mental Model,https://fs.blog/2017/08/the-butterfly-effect/,20231.13310395679
Just Twenty-Five Pages a Day,https://fs.blog/2015/12/twenty-five-pages-a-day/,21989.34135384497
Five Percent Better: The Compounding of Consistent Incremental Progress,https://fs.blog/2016/03/five-percent-better/,65518.86996423717
Inertia: The Force That Holds the Universe Together,https://fs.blog/2018/04/inertia/,466.31672907858234
What’s So Significant About Significance?,https://fs.blog/2016/08/null-hypothesis-statistical-significance/,1752.6617497246245
Arthur Schopenhauer on the Dangers of Clickbait,https://fs.blog/2017/01/schopenhauer-dangers-clickbate/,63274.44938943431
Half Life: The Decay of Knowledge and What to Do About It,https://fs.blog/2018/03/half-life/,6895.1587732797925
This is Water by David Foster Wallace (Full Transcript and Audio),https://fs.blog/2012/04/david-foster-wallace-this-is-water/,10222.948218497864
C.S. Lewis on Reading Old Books,https://fs.blog/2012/06/c-s-lewis-on-reading-old-books/,28989.800999203166
My Berkshire Hathaway Reflections,https://fs.blog/2018/04/my-berkshire-reflections/,183.4207736707738
Get Smart: Three Ways of Thinking to Make Better Decisions and Achieve Results,https://fs.blog/2017/04/get-smart-brian-tracy/,8539.146264931904
Warren Buffett: The Three Things I Look For in a Person,https://fs.blog/2013/05/warren-buffett-the-three-things-i-look-for-in-a-person/,3940.1944405720524
Hunter S. Thompson’s Letter on Finding Your Purpose and Living a Meaningful Life,https://fs.blog/2014/05/hunter-s-thompson-to-hume-logan/,13742.647408457893
The Best Summary of How to Win Friends and Influence People,https://fs.blog/2012/07/how-to-win-friends-and-influence-people/,40258.45356347296
The Art of Having an Informed Opinion,https://fs.blog/2017/10/opinions-on-everything/,6094.1457732948775
Carol Dweck: A Summary of The Two Mindsets And The Power of Believing That You Can Improve,https://fs.blog/2015/03/carol-dweck-mindset/,115220.35093218125
Go Fast and Break Things: The Difference Between Reversible and Irreversible Decisions,https://fs.blog/2018/04/reversible-irreversible-decisions/,398.95604705597094
Let Go of the Learning Baggage,https://fs.blog/2017/04/learning-baggage/,272.0412484139451
The Code of Hammurabi: The Best Rule To Manage Risk,https://fs.blog/2017/11/hammurabis-code/,7739.759273945496
The Nerds Were Right. Math Makes Life Beautiful.,https://fs.blog/2018/05/math-life-beautiful/,378.60024743305
Understanding Speed and Velocity: Saying “NO” to the Non-Essential,https://fs.blog/2018/03/speed-velocity/,849.7742445569554
Leverage: Gaining Disproportionate Strength,https://fs.blog/2017/06/leverage/,2470.4439699321133
Learning How to Learn: My Conversation With Barbara Oakley,https://fs.blog/2018/04/learning-barbara-oakley/,3916.4692721570054
Maker vs. Manager: How Your Schedule Can Make or Break You,https://fs.blog/2017/12/maker-vs-manager/,2130.235407397102
The Metagame: How Bill Belichick and Warren Buffett Play a Different Game,https://fs.blog/2017/03/the-metagame/,3632.38225739647
Strategy vs. Tactics: What’s the Difference and Why Does it Matter?,https://fs.blog/2018/08/strategy-vs-tactics/,1134.259904490953
Becoming Wise: An Inquiry Into the Art of Living,https://fs.blog/2017/01/krista-tippett-becoming-wise/,6169.257588905645
The Art of Winning An Argument,https://fs.blog/2014/06/winning-an-argument/,4118.533743670469
What Are You Doing About It? Reaching Deep Fluency with Mental Models,https://fs.blog/2016/09/what-are-you-doing-about-it/,58871.9191839501
[Episode 27] The Art of Letting Other People Have Your Way: Negotiating Secrets from Chris Voss,https://fs.blog/2018/01/chris-voss/,13958.729931914399
Zero — Invented or Discovered?,https://fs.blog/2017/07/zero-invented-discovered/,1574.7045697366243
Sex on the Beach with Montaigne and Descartes,https://fs.blog/2018/10/sex-on-the-beach-montaigne-descartes/,3626.306637431615
What You Can Learn from Fighter Pilots About Making Fast and Accurate Decisions,https://fs.blog/2018/01/john-boyd-ooda-loop/,1605.958678098634
"Roger Fisher on a Better Way to Negotiate, Part 2",https://fs.blog/2016/04/roger-fisher-negotiation-part-2/,4998.112489025981
Andy Grove and the Value of Facing Reality,https://fs.blog/2016/08/andy-grove-value-facing-reality/,1978.1180205732524
Leonard Mlodinow: The Three Laws of Probability,https://fs.blog/2014/03/mlodinow-the-drunkards-walk/,15329.292523843349
How To Think,https://fs.blog/2015/01/how-to-think-2/,16065.740829927992
Alexander von Humboldt and the Invention of Nature: Creating a Holistic View of the World Through A Web of Interdisciplinary Knowledge,https://fs.blog/2017/05/alexander-von-humboldt-and-the-invention-of-nature/,2397.238473519557
People Don’t Follow Titles: Necessity and Sufficiency in Leadership,https://fs.blog/2017/06/necessity-sufficiency-leadership/,2210.6176319110727
Avoiding Stupidity is Easier than Seeking Brilliance,https://fs.blog/2014/06/avoiding-stupidity/,10614.00133638084
Maya Angelou on Living,https://fs.blog/2017/09/maya-angelou-living/,882.9831776651254
Bias from Disliking/Hating,https://fs.blog/2016/09/bias-from-disliking-hating/,3169.2517118847804
Stronger: Developing Personal Resilience and Becoming Antifragile,https://fs.blog/2015/11/antifragile-life/,41.818173329938034
An Introduction to the Mental Model of Redundancy (with examples),https://fs.blog/2011/07/mental-model-redundancy/,32563.99192348089
Why Early Decisions Have the Greatest Impact and Why Growing too Much is a Bad Thing,https://fs.blog/2015/11/things-i-learned-in-engineering-school/,6223.212113340018
Iatrogenics: Why Intervention Often Leads to Worse Outcomes,https://fs.blog/2013/10/iatrogenics/,2715.287476900665
The Joy of Finding Things Out,https://fs.blog/2013/11/richard-feynman-honors/,3746.835391254266
Your organization sucks at innovating,https://fs.blog/2013/11/your-organization-sucks-at-innovating/,12988.62172356036
Power Laws: How Nonlinear Relationships Amplify Results,https://fs.blog/2017/11/power-laws/,19612.197082524883
10 Things I Learned Reading Brad Stone’s The Everything Store: Jeff Bezos and the Age of Amazon,https://fs.blog/2013/10/the-everything-store/,6274.744559224012
The Fundamental Attribution Error: Why Predicting Behavior is so Hard,https://fs.blog/2016/08/fundamental-attribution-error/,1101.4822332271297
Confirmation Bias And the Power of Disconfirming Evidence,https://fs.blog/2017/05/confirmation-bias/,2513.7972850957144
The Two Types of Ignorance,https://fs.blog/2013/11/two-types-of-ignorance/,1611.8919469183209
Five Books To Read Before Your 30th Birthday,https://fs.blog/2013/12/five-books/,7414.876368655928
Activation Energy: Why Getting Started Is the Hardest Part,https://fs.blog/2017/06/activation-energy/,34003.663051674186
Charlie Munger: The Psychology of Human Misjudgment (Transcript and Audio),https://fs.blog/2013/02/the-psychology-of-human-misjudgement/,31095.209610153044
Mental Model: Feedback Loops,https://fs.blog/2011/10/mental-model-feedback-loops/,76654.43811495828
The Difference Between Open-Minded and Closed-Minded People,https://fs.blog/2017/09/open-closed-minded/,2446.6621974499003
Language: Why We Hear More Than Words,https://fs.blog/2017/04/language-not-just-code/,15234.671550199264
Mental Model: Commitment and Consistency Bias,https://fs.blog/2016/08/commitment-consistency-bias/,4751.757752318007
Scientific Concepts We All Ought To Know,https://fs.blog/2017/03/scientific-concepts-know/,2991.2209868160908
Mental Model: Bias from Insensitivity to Sample Size,https://fs.blog/2013/05/mental-model-bias-from-insensitivity-to-sample-size/,8483.88381423399
Pain Plus Reflection Equals Progress,https://fs.blog/2018/06/pain-reflection/,47505.15215003333
What We Can Learn From The Laboratory of Literature: Two Great Thinkers,https://fs.blog/2017/04/can-learn-fiction-two-great-thinkers-literature/,3899.6600742207374
Friction: The Hidden Reality of What Holds People Back,https://fs.blog/2018/03/what-holds-people-back/,207.73552622446513
The Probability Distribution of the Future,https://fs.blog/2016/11/future-probability-distribution/,2414.343427339964
Understanding the Limitations of Maps,https://fs.blog/2017/05/understanding-limitations-maps/,1464.9942625990857
Mental Model: Misconceptions of Chance,https://fs.blog/2015/08/mental-model-misconceptions-of-chance/,5774.872297660766
Fiction that Influences and Inspires,https://fs.blog/2016/12/fiction-influences-inspires/,3006.785384009565
The Value of Play As a Driver of Innovation,https://fs.blog/2017/08/value-play-driver-innovation/,8052.171204484739
[Episode #26] Warren Berger:  Improve Your Life by Improving Your Questions,https://fs.blog/2017/12/warren-berger/,2399.0101144635437
Opinions and Organizational Theory,https://fs.blog/2013/04/opinions-and-organizational-theory/,5923.766993887567
A Guide to Meditation,https://fs.blog/2015/06/a-guide-to-meditation/,7456.1082573775575
Do Algorithms Beat Us at Complex Decision Making?,https://fs.blog/2017/03/algorithms-complex-decision-making/,865.2443714688724
The Farnam Street Members Summer 2016 Reading List,https://fs.blog/2016/07/members-summer-2016-reading-list/,4699.911070574129
Re:Thinking Innovation,https://fs.blog/2015/08/rethinking-innovation/,9800.146320919952
The Wrong Side of Right,https://fs.blog/2017/08/wrong-side-right/,871.3431968031969
William James on Habit,https://fs.blog/2013/05/william-james-on-habit/,56.86371435145229
Proximate vs Root Causes: Why You Should Keep Digging to Find the Answer,https://fs.blog/2017/05/proximate-vs-root-causes/,9448.843606439694
Vincent van Gogh on How To Live,https://fs.blog/2015/01/van-gogh-letter-life/,3559.1550172442185
"The Generalized Specialist: How Shakespeare, Da Vinci, and Kepler Excelled",https://fs.blog/2017/11/generalized-specialist/,3022.1516504534034
A teacher’s brilliant way to visualize gravity,https://fs.blog/2013/12/visualize-gravity/,53.325748546500364
The Return of a Decision-Making Jedi [The Knowledge Project #28],https://fs.blog/2018/02/michael-mauboussin-interview/,4225.421267624703
The Narrative Fallacy and What You Can Do About It,https://fs.blog/2016/04/narrative-fallacy/,7600.827501503037
The Green Lumber Fallacy: The Difference between Talking and Doing,https://fs.blog/2016/11/green-lumber-fallacy/,2620.0617570933305
The Most Respectful Interpretation,https://fs.blog/2017/01/most-respectful-interpretation/,2220.561021315677
Galilean Relativity and the Invasion of Scotland,https://fs.blog/2017/05/galilean-relativity-invasion-scotland/,5020.086769344651
General James Mattis: Arm Yourself With Books,https://fs.blog/2017/04/arm-yourself-with-books/,3368.3302762193807
A System for Remembering What You Read,https://fs.blog/2014/05/remembering-what-you-read/,12794.936753097365
Why Great Writers Write,https://fs.blog/2016/11/what-makes-writers-write/,7011.469301071016
Let Go of Self-Justification,https://fs.blog/2017/04/letting-go-self-justification/,1326.2217488267745
Haruki Murakami on Reading What Everyone Else is Reading,https://fs.blog/2013/04/reading-what-everyone-else-is-reading/,15116.200608849624
"Billy Beane on Making Better Decisions, Challenging Entrenched Thinking, and Avoiding Biases",https://fs.blog/2015/07/billy-beane-making-better-decisions/,10385.80625457232
[Episode #25] Is Sugar Slowly Killing Us? My Conversation with Gary Taubes,https://fs.blog/2017/11/gary-taubes-sugar/,13860.783101271685
How Filter Bubbles Distort Reality: Everything You Need to Know,https://fs.blog/2017/07/filter-bubbles/,66920.68842087316
Susan Sontag — How I Write,https://fs.blog/2013/05/susan-sontag-how-i-write/,12696.692681872104
Embrace the Mess: The Upside of Disorder,https://fs.blog/2016/12/tim-harford-messy/,2740.105108444502
A Visual History of Human Knowledge,https://fs.blog/2015/11/manuel-lima-history-of-human-knowledge/,31.628313366013593
Richard Restak: Mozart’s Memorization of Miserere  and Improving your Memory with Visual Chess,https://fs.blog/2017/02/mozarts-memorization-of-miserere/,4065.373840473805
"The Trojan Horse: How Marketers, Retailers, and Artists Conceal Their True Intents",https://fs.blog/2017/07/trojan-horse/,1663.6064099899713
"At Some Point, You Have to Eat The Broccoli",https://fs.blog/2016/10/eat-the-broccoli/,33073.8541245952
Richard Feynman: The Difference Between Knowing the Name of Something and Knowing Something,https://fs.blog/2015/01/richard-feynman-knowing-something/,1868.5697583687108
The Art of Reading: Analytical Reading,https://fs.blog/2013/06/the-art-of-reading-analytical-reading/,14514.690724690574
The Psychology of We,https://fs.blog/2015/01/joshua-shenk-the-psychology-of-we/,9784.342416433023
"Hares, Tortoises, and the Trouble with Genius",https://fs.blog/2016/07/james-march-the-trouble-with-genius/,1117.6353623569933
The Best way to Improve Your Performance,https://fs.blog/2014/05/improving-your-performance/,86717.10190961217
Letters to a Prime Minister,https://fs.blog/2016/03/letters-to-a-prime-minister/,5583.630981235725
Principles for an Age of Acceleration,https://fs.blog/2017/01/principles-age-acceleration/,4655.895928565225
"Loops of Progress, or How Modern Are You?",https://fs.blog/2017/10/loops-progress-modern/,126.11588457660577
How to Live on 24 Hours a Day: Arnold Bennett on Living a Meaningful Life Within the Constraints of Time,https://fs.blog/2017/05/arnold-bennett-living-meaningful-life/,1355.050195741385
Bias from Association: Why We Shoot the Messenger,https://fs.blog/2015/08/bias-from-association-why-we-shoot-the-messenger/,4585.510125410445
Batesian Mimicry: Why Copycats Are Successful,https://fs.blog/2016/12/batesian-mimicry/,608.2477848860259
The Munger Two Step,https://fs.blog/2013/04/munger-two-step/,18817.812565740212
"The Law of Unintended Consequences: Shakespeare, Cobra Breeding, and a Tower in Pisa",https://fs.blog/2018/02/unintended-consequences/,2787.0658680301894
“Speed Reading” That Works: How to Intelligently Skim a Book,https://fs.blog/2013/06/the-art-of-reading-inspectional-reading/,4822.505660132418
The Art of Reading: How to be a Demanding Reader,https://fs.blog/2013/06/the-art-of-reading-how-to-be-a-demanding-reader/,8618.699721832152
Henry David Thoreau on Success,https://fs.blog/2015/09/thoreau-on-success/,3836.6471796203205
The Best Books of 2013: Your 10 Overall Favorites,https://fs.blog/2013/12/best-books-2013-reader-favorites/,1581.2144137191501
"Tyranny, Democracy, and the Polity: Aristotle’s Politics",https://fs.blog/2017/02/aristotles-politics/,1361.140428596486
Complex Adaptive Cities,https://fs.blog/2017/09/complex-adaptive-cities/,98.19152036677674
Book Recommendations by the Legendary Washington Post CEO Don Graham,https://fs.blog/2016/11/book-recommendations-don-graham/,1377.278804123005
Temperament is more important than IQ,https://fs.blog/2013/11/temperament-is-more-important-than-iq/,5010.428362456197
Your Product is Decisions,https://fs.blog/2013/11/your-product-is-decisions/,36706.607822728925
"Focusing is an Art, Not a Science",https://fs.blog/2017/03/focusing-art-not-science/,2213.7029112117007
20 Rules for a Knight: A Timeless Guide from 1483,https://fs.blog/2016/08/20-rules-knight-timeless-guide-1483/,160.9162037476281
Intuition vs. Rationality: Where One Stops the Other Starts,https://fs.blog/2018/01/intuition-rationality/,9685.356565299202
Memory and the Printing Press,https://fs.blog/2017/02/memory-printing-press/,2392.8656054064504
"Science, Religion, and The Universe",https://fs.blog/2014/02/science-religion-and-the-universe/,5189.264065499554
Richard Feynman on Teaching Math to Kids and the Lessons of Knowledge,https://fs.blog/2016/07/richard-feynman-teaching-math-kids/,2788.9456163042596
Social Proof: Why We Look to Others For What We Should Think and Do,https://fs.blog/2009/09/mental-model-social-proof/,30909.50469016446
How To Think,https://fs.blog/2014/02/how-to-think/,17244.97794988557
Critical Mass and Tipping Points: How To Identify Inflection Points Before They Happen,https://fs.blog/2017/07/critical-mass/,972.7391392866604
Focusing Illusions,https://fs.blog/2015/09/focusing-illusions/,3023.0527929393265
Impressions Are Schematically Determined,https://fs.blog/2013/07/impressions-are-schematically-determined/,3895.044567551051
The Power of Full Engagement: The Four Energy Management Principles That Drive Performance,https://fs.blog/2015/06/the-power-of-full-engagement/,3069.4180424005217
The Best Books of 2016 According to You,https://fs.blog/2016/12/best-books-2016/,456.1996188996187
Playing to Win: How Strategy Really Works,https://fs.blog/2013/03/playing-to-win-how-strategy-really-works/,1550.7716041701963
Mindfulness versus Concentration,https://fs.blog/2015/12/mindfulness-versus-concentration/,4582.165879224405
Notes From Underground,https://fs.blog/2013/03/notes-from-underground/,6383.221201510905
Listening and the Learning Lens,https://fs.blog/2015/11/listening-learning-lens/,2867.515384615383
Just In Time Information Gathering,https://fs.blog/2014/01/just-in-time-information/,18527.94250245114
Books for Schools That Need Them,https://fs.blog/2015/12/books-for-schools/,3046.0574204702352
Joseph Tussman: Getting the World to Do the Work for You,https://fs.blog/2016/02/joseph-tussman/,9256.832246707416
William McKnight: The Basic Rule of Management that Propelled 3M,https://fs.blog/2015/09/mcknight-3m-management/,1529.1717277891196
NY Times — 100 Notable Books of 2012,https://fs.blog/2012/12/ny-times-100-notable-books-of-2012/,27260.826011541296
Charles Frankel: What We Suffer from Today,https://fs.blog/2012/11/what-we-suffer-from-today/,10563.352143654634
The Narratives of History: Applying Lessons from the Past,https://fs.blog/2017/12/learning-from-history/,1772.2759841016432
For the Bookworm on your List: 2016 Edition,https://fs.blog/2016/12/bookworm-2016-edition/,293.9358949218866
The Ability To Focus And Make The Best Move When There Are No Good Moves,https://fs.blog/2014/04/the-ability-to-focus-and-make-the-best-move-when-there-are-no-good-moves/,19682.441162818795
The Fatal Flaw of the Storyteller,https://fs.blog/2012/04/the-fatal-flaw-of-the-storyteller/,62429.07029150185
3 Famous Writers on the Relationship Between Reading and Writing,https://fs.blog/2016/03/relationship-between-reading-and-writing/,7009.210579303292
Why is it so Hard to Kill a Cockroach with your Shoe?,https://fs.blog/2011/08/why-is-it-so-hard-to-kill-a-cockroach-with-your-shoe/,147.81246435424066
Rich Thinking Versus Poor Thinking: Why it Matters,https://fs.blog/2017/03/rich-thinking-versus-poor-thinking/,448.79974938046837
Ego is the Enemy: The Legend of Genghis Khan,https://fs.blog/2016/06/ego-is-the-enemy-genghis-khan/,5098.750067797018
What’s Accomplished in Conversation?,https://fs.blog/2015/01/daniel-cloud-domestication-of-language/,28.81111111111111
Education is a Priceless Opportunity to Furnish Your Mind and Enrich Your Life,https://fs.blog/2013/09/education-is-a-priceless-opportunity-to-furnish-your-mind-and-enrich-your-life/,15991.288980172954
The Myth of Multitasking: Why the Key to Better Work is Developing Forgotten Skills,https://fs.blog/2011/08/multitasking-2/,9950.74602580407
The Psychology of Pirates: How to Choose a Ransom,https://fs.blog/2009/07/pirates/,4471.9609900790065
The Pleasures of Reading in an Age of Distraction,https://fs.blog/2013/01/the-pleasures-of-reading-in-an-age-of-distraction/,55688.78348787489
Promoting People In Organizations,https://fs.blog/2011/08/promoting-people-in-organizations/,3551.9535712750558
"Charlie Munger on Getting Rich, Wisdom, Focus, Fake Knowledge and More",https://fs.blog/2017/02/charlie-munger-wisdom/,505.67375902743794
The Many Ways Our Memory Fails Us (Part 1),https://fs.blog/2016/08/many-ways-memory-fails-us-part-1/,203.15141533303296
Eudora Welty to The New Yorker— The best job application ever,https://fs.blog/2014/05/eudora-welty-to-the-new-yorker-the-best-job-application-ever/,1558.9490570799435
Warren Berger’s Three-Part Method for More Creativity,https://fs.blog/2016/06/warren-berger-system-questioning/,2692.7104890049895
Margin of Safety: An Introduction to the Mental Model,https://fs.blog/2013/12/margin-of-safety/,10202.38362076364
Mental Model: Supply and Demand,https://fs.blog/2009/07/mental-model-supply-and-demand/,8480.930373850613
Aristotle on Time,https://fs.blog/2015/06/aristotle-time/,1538.147435845888
Neil Gaiman: One Of The Best Commencement Speeches Ever,https://fs.blog/2012/05/neil-gaiman-one-of-the-best-commencement-speeches-ever/,3849.199150752348
Why Do People Choose Political Loyalties Over Facts?,https://fs.blog/2012/05/people-choose-political-loyalties-facts/,6864.095970695971
Michael Mauboussin: Two Tips to Improve The Quality of Your Decisions,https://fs.blog/2012/09/how-to-improve-the-quality-of-our-decision-making/,26130.806108333396
On perfection,https://fs.blog/2013/09/on-perfection/,8388.324916458776
The Many Ways Our Memory Fails Us (Part 2),https://fs.blog/2016/08/many-ways-memory-fails-us-part-2/,199.6413730141694
The Best of Farnam Street 2015,https://fs.blog/2015/12/best-of-farnam-street-2015/,4560.093293459822
"The Three Marriages: Reimagining Work, Self and Relationship",https://fs.blog/2015/06/the-three-marriages/,1557.200364921235
Jared Diamond: How to Get Rich,https://fs.blog/2016/10/jared-diamond-how-to-get-rich/,897.057601134527
Under One Roof: What Can we Learn from the Mayo Clinic?,https://fs.blog/2017/01/under-one-roof-what-can-we-learn-from-the-mayo-clinic/,1479.4268108751876
How to Fail at Almost Everything and Still Win Big,https://fs.blog/2013/12/scott-adams-fail-at-everything/,1542.4866418923039
Finding Truth in History,https://fs.blog/2017/10/finding-truth-history/,61.63788510499182
The Limits of Crowd Wisdom,https://fs.blog/2012/10/the-limits-of-crowd-wisdom/,11069.49055595913
"They Work Long Hours, but What About Results?",https://fs.blog/2012/10/they-work-long-hours-but-what-about-results/,19637.180068427
To Sacrifice the Joy of Life is to Miss the Point,https://fs.blog/2016/02/don-miguel-ruiz-sacrifice/,113.37923302001238
Michel de Montaigne,https://fs.blog/2013/09/michel-de-montaigne/,28352.85944219572
A Brief History of the To-Do List,https://fs.blog/2015/05/history-of-the-to-do-list/,1528.1189097714732
